,ident,Code,Adresse,Surface,Type,Tutelle pédagogique,Statut
341,75012008,75012,33 bld de Picpus,27010.0,Autre,Santé,Public
342,75013008,75013,47 bd de l'Hôpital,33648.0,Université,Enseignement Supérieur,Public
343,75013012,75013,147/155 bd de l'Hôpital,21444.0,Grande Ecole (conférence),Enseignement Supérieur,Public
344,75013017,75013,36/46 rue Charcot,4397.0,Université,Enseignement Supérieur,Public
345,75013022,75013,46 rue Barrault,9418.0,Grande Ecole (conférence),Industrie,Public
346,75013023,75013,12/18 rue Nicolas Fortin,2779.0,,Enseignement Supérieur,Public
349,75014016,75014,18/24 rue du Faubourg Saint Jacques,3476.0,Université,Enseignement supérieur,Public
350,75015006,75015,11 rue de Lourmel,2407.0,Université,Enseignement Supérieur,Public
351,75015011,75015,19 avenue du Maine,4725.0,Grande Ecole (conférence),Agriculture,Public
352,75015012,75015,32 bd Victor,50219.0,Grande Ecole (conférence),Défense,Public
353,75015013,75015,156/160 rue de Vaugirard,8944.0,Université,Enseignement Supérieur,Public
354,75015014,75015,"297, rue de Vaugirard",286.0,Grande Ecole (conférence),Enseignement Supérieur,Privé
355,75015018,75015,19 avenue du Maine,4725.0,Grande Ecole (conférence),Agriculture,Public
357,75017002,75017,14 rue de Prony,737.0,Grande Ecole (conférence),Enseignement Supérieur,Privé
358,75017004,75017,56 boulevard des Batignolles,5842.0,Université,Enseignement Supérieur,Public
359,75018001,75018,12/18 rue Henri Huchard,8032.0,Université,Enseignement Supérieur,Public
361,75018007,75018,113 rue Championnet,2927.0,Université,Enseignement Supérieur,Public
362,75019002,75019,144 avenue de Flandre,992.0,Autre,Aménagement & développement durable,Public
370,77420005,77420,"6 et 8 avenue Blaise Pascal
Champs-sur-Marne",44900.0,Grande Ecole (conférence),Enseignement Supérieur,Public
400,75002002,75002,2/4 rue Vivienne,3886.0,Université,Enseignement Supérieur,Public
401,75002003,75002,2/4 rue Vivienne,3886.0,Autre,Enseignement Supérieur,Public
402,75003001,75003,50 rue des Tournelles,1274.0,Autre,Enseignement Supérieur,Ville de Paris
403,75003006,75003,62 boulevard de Sébastopol,1308.0,Autre,Culture,Public
